code,industry
300239,生物制品
300240,交运物流
300241,光学光电子
300242,文化传媒
300243,塑料制品
300244,医疗服务
300246,医疗器械
300247,家电行业
300248,互联网服务
300249,软件服务
300250,电子信息
300251,传媒娱乐
300252,通讯行业
300253,软件服务
300254,医药制造
300255,医药制造
300256,消费电子
300258,汽车行业
300261,农药兽药
300265,输配电气
300269,互联网服务
300274,电器行业
300276,专用设备
300277,互联网服务
300281,专用设备
300282,--
300283,电网设备
300285,化工行业
300286,输配电气
300288,电子信息
300289,医疗器械
300292,通信服务
300293,专用设备
300294,生物制品
300295,互联网服务
300296,光学光电子
300297,--
300298,医疗器械
300299,游戏
300300,互联网服务
300301,光学光电子
300302,软件服务
300303,光学光电子
300304,汽车行业
300306,仪器仪表
300307,专用设备
300308,通信
300309,--
300310,通信服务
300311,软件服务
300314,医疗器械
300324,互联网服务
300325,--
300327,半导体
300328,小金属
300330,--
300332,燃气
300333,软件开发
300335,环保工程
300336,--
300338,文教休闲
300344,软件服务
300347,医疗器械
300349,仪器仪表
300351,交运设备
300353,通讯行业
300354,仪器仪表
300355,环保工程
300356,--
